GEO_ID,Zip Code,ucgid,County,County Code,State Number,State,Year,CENSUS_Category,Population,Variable Code,Label,Type,Category,Detail
860Z200US99701,99701,860Z200US99701,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023,S1901_C01_001E,7480,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99702,99702,860Z200US99702,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023,S1901_C01_001E,832,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99703,99703,860Z200US99703,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023,S1901_C01_001E,1903,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99705,99705,860Z200US99705,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023,S1901_C01_001E,7836,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99707,99707,860Z200US99707,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023,S1901_C01_001E,0,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99709,99709,860Z200US99709,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023,S1901_C01_001E,12543,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99712,99712,860Z200US99712,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023,S1901_C01_001E,4643,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99714,99714,860Z200US99714,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023,S1901_C01_001E,541,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99725,99725,860Z200US99725,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023,S1901_C01_001E,270,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99760,99760,860Z200US99760,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023,S1901_C01_001E,394,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
