Total population,Male,Female,Sex ratio (males per 100 females),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,One race,Two or More Races,White,Black or African American,American Indian and Alaska Native,Aztec,Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,Maya,Native Village of Barrow Inupiat Traditional Government,Navajo Nation,Nome Eskimo Community,Other American Indian and Alaska Native,Asian,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Native Hawaiian and Other Pacific Islander,Chamorro,Native Hawaiian,Samoan,Other Native Hawaiian and Other Pacific Islander,Some Other Race,White and Black or African American,White and American Indian and Alaska Native,White and Asian,White and Some Other Race,Black or African American and American Indian and Alaska Native,Black or African American and Some Other Race,Hispanic or Latino (of any race),Mexican,Puerto Rican,Cuban,Other Hispanic or Latino,Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two races including Some Other Race,"Two races excluding Some Other Race, and three or more races",Total housing units,"Citizen, 18 and over population",GEO_ID,Zip Code,ucgid,County,County Code,State Number,State,Year
530,292,238,122.7,64,90,40,40,17,91,52,21,15,31,57,12,0,27.0,221,316,309,296,87,69,508,22,0,2,506,0,0,0,0,0,0,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,530,0,2,506,0,0,0,0,22,114,309,860Z200US99561,99561,860Z200US99561,Bethel Census Area,0500000US02050,02,Alaska,2023
18,9,9,100.0,0,2,0,4,0,3,0,5,0,1,3,0,0,36.5,2,16,16,12,4,3,18,0,0,0,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0,16,16,860Z200US99575,99575,860Z200US99575,Bethel Census Area,0500000US02050,02,Alaska,2023
332,179,153,117.0,18,44,42,34,24,36,24,65,8,14,16,7,0,25.3,130,218,202,190,32,23,319,13,0,0,319,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,332,0,0,319,0,0,0,0,13,86,202,860Z200US99578,99578,860Z200US99578,Bethel Census Area,0500000US02050,02,Alaska,2023
113,48,65,73.8,17,15,3,3,5,21,18,14,11,3,3,0,0,32.6,38,78,75,75,6,3,113,0,1,0,112,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,1,0,112,0,0,0,0,0,54,75,860Z200US99589,99589,860Z200US99589,Bethel Census Area,0500000US02050,02,Alaska,2023
232,127,105,121.0,36,35,24,23,17,30,23,14,11,14,3,2,0,19.6,102,135,130,107,12,5,213,19,26,1,186,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,232,26,1,186,0,0,0,0,19,85,130,860Z200US99607,99607,860Z200US99607,Bethel Census Area,0500000US02050,02,Alaska,2023
692,339,353,96.0,87,68,91,72,47,75,85,53,30,32,26,20,6,21.6,293,433,399,356,62,52,692,0,9,0,683,0,0,0,0,0,0,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,9,0,683,0,0,0,0,0,147,399,860Z200US99609,99609,860Z200US99609,Bethel Census Area,0500000US02050,02,Alaska,2023
488,252,236,106.8,50,53,58,48,27,79,38,52,23,27,19,6,8,25.9,189,319,299,276,39,33,488,0,3,0,485,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,3,0,485,0,0,0,0,0,129,299,860Z200US99614,99614,860Z200US99614,Bethel Census Area,0500000US02050,02,Alaska,2023
852,449,403,111.4,124,94,69,86,62,129,90,84,45,37,16,13,3,24.2,347,552,505,473,54,32,838,14,11,0,825,0,0,0,0,0,0,825,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,852,11,0,825,2,0,0,0,14,240,505,860Z200US99621,99621,860Z200US99621,Bethel Census Area,0500000US02050,02,Alaska,2023
461,209,252,82.9,60,46,41,33,52,58,38,37,31,30,14,14,7,24.9,168,311,293,268,53,35,460,1,6,0,454,0,0,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,461,6,0,454,0,0,0,0,1,117,293,860Z200US99622,99622,860Z200US99622,Bethel Census Area,0500000US02050,02,Alaska,2023
234,134,100,134.0,29,38,22,10,5,40,25,15,10,12,22,6,0,30.1,93,143,141,132,38,28,229,5,0,0,229,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,234,0,0,229,0,0,0,0,5,77,141,860Z200US99626,99626,860Z200US99626,Bethel Census Area,0500000US02050,02,Alaska,2023
290,150,140,107.1,15,21,28,13,6,32,23,23,48,35,28,18,0,50.1,73,221,217,211,60,46,286,4,5,0,281,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,290,5,0,281,0,0,0,0,4,142,217,860Z200US99630,99630,860Z200US99630,Bethel Census Area,0500000US02050,02,Alaska,2023
737,379,358,105.9,56,72,88,103,77,58,85,113,30,24,18,13,0,21.6,261,490,476,394,43,31,734,3,1,0,733,0,0,0,0,0,0,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,737,1,0,733,0,0,0,0,3,194,476,860Z200US99634,99634,860Z200US99634,Bethel Census Area,0500000US02050,02,Alaska,2023
999,515,484,106.4,157,125,56,123,40,117,108,123,24,29,57,34,6,24.6,407,628,592,535,120,97,999,0,11,2,986,0,0,0,0,0,0,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,11,2,986,0,0,0,0,0,219,592,860Z200US99637,99637,860Z200US99637,Bethel Census Area,0500000US02050,02,Alaska,2023
766,356,410,86.8,103,112,74,58,68,74,88,37,33,28,72,15,4,23.4,320,472,446,413,110,91,755,11,0,0,752,0,0,0,0,0,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,13,6,0,0,7,753,0,0,742,0,0,0,0,11,166,446,860Z200US99641,99641,860Z200US99641,Bethel Census Area,0500000US02050,02,Alaska,2023
25,13,12,108.3,0,0,3,0,9,0,7,3,0,0,3,0,0,38.2,3,22,22,20,3,3,25,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,23,22,860Z200US99651,99651,860Z200US99651,Bethel Census Area,0500000US02050,02,Alaska,2023
1302,659,643,102.5,185,120,144,116,82,158,147,90,89,44,81,46,0,25.4,539,835,763,713,149,127,1192,110,33,0,1152,0,0,0,0,0,0,1152,3,0,0,3,0,0,0,0,4,0,0,4,0,0,0,95,0,0,3,0,0,0,0,0,0,1302,33,0,1152,3,4,0,0,110,304,763,860Z200US99655,99655,860Z200US99655,Bethel Census Area,0500000US02050,02,Alaska,2023
9,4,5,80.0,0,0,0,0,0,2,0,0,0,2,5,0,0,67.3,0,9,9,9,7,5,9,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,30,9,860Z200US99656,99656,860Z200US99656,Bethel Census Area,0500000US02050,02,Alaska,2023
61,30,31,96.8,6,7,8,3,9,10,4,10,0,2,2,0,0,23.5,24,40,37,35,2,2,56,5,2,0,54,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,61,2,0,54,0,0,0,0,5,41,37,860Z200US99668,99668,860Z200US99668,Bethel Census Area,0500000US02050,02,Alaska,2023
324,310,14,2214.3,4,0,0,3,3,304,0,3,4,0,0,3,0,33.5,7,320,317,314,3,3,315,9,302,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,324,302,0,13,0,0,0,0,9,32,317,860Z200US99679,99679,860Z200US99679,Bethel Census Area,0500000US02050,02,Alaska,2023
616,241,375,64.3,71,60,45,68,34,209,36,31,24,14,15,9,0,27.8,214,424,402,367,31,24,612,4,2,0,610,0,0,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,616,2,0,610,0,0,0,0,4,112,402,860Z200US99680,99680,860Z200US99680,Bethel Census Area,0500000US02050,02,Alaska,2023
